t,seq,stale,calibrated,mode,diff_fraction,detections,on_lattice,off_lattice,cell_churn,cells
0.536,3,0,1,vertical,,0,0,0,,
0.647,7,0,1,vertical,0.000013,6,5,1,5,0:2 2:0 2:1 3:2 4:4
0.759,10,0,1,vertical,0.000013,6,5,1,0,0:2 2:0 2:1 3:2 4:4
0.874,13,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
0.986,17,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.099,20,0,1,vertical,0.008207,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.215,23,0,1,vertical,0.040487,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.327,27,0,1,vertical,0.063759,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.441,30,0,1,vertical,0.043422,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.552,34,0,1,vertical,0.041704,6,4,2,1,0:2 2:1 3:2 4:4
1.664,37,0,1,vertical,0.033150,4,4,0,0,0:2 2:1 3:2 4:4
1.776,40,0,1,vertical,0.020368,4,4,0,0,0:2 2:1 3:2 4:4
1.887,44,0,1,vertical,0.020021,4,4,0,0,0:2 2:1 3:2 4:4
1.999,47,0,1,vertical,0.027296,4,4,0,0,0:2 2:1 3:2 4:4
2.11,51,0,1,vertical,0.052172,4,4,0,0,0:2 2:1 3:2 4:4
2.222,54,0,1,vertical,0.058989,4,4,0,0,0:2 2:1 3:2 4:4
2.333,57,0,1,vertical,0.071292,4,4,0,0,0:2 2:1 3:2 4:4
2.444,61,0,1,vertical,0.085806,4,4,0,0,0:2 2:1 3:2 4:4
2.556,64,0,1,vertical,0.081706,3,3,0,1,0:2 3:2 4:4
2.668,67,0,1,vertical,0.087049,3,3,0,0,0:2 3:2 4:4
2.779,71,0,1,vertical,0.104117,3,3,0,0,0:2 3:2 4:4
2.89,74,0,1,vertical,0.085233,3,3,0,0,0:2 3:2 4:4
3.002,77,0,1,vertical,0.078682,2,2,0,1,0:2 4:4
3.113,81,0,1,vertical,0.090052,1,1,0,1,4:4
3.224,84,0,1,vertical,0.076164,3,2,1,1,2:0 4:4
3.338,87,0,1,vertical,0.069120,3,2,1,0,2:0 4:4
3.449,91,0,1,vertical,0.077611,3,2,1,0,2:0 4:4
