t,seq,stale,calibrated,mode,diff_fraction,detections,on_lattice,off_lattice,cell_churn,cells
0.536,3,0,1,vertical,,0,0,0,,
0.647,7,0,1,vertical,0.000022,6,5,1,5,0:2 2:0 2:1 3:2 4:4
0.759,10,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
0.874,13,0,1,vertical,0.000009,6,5,1,0,0:2 2:0 2:1 3:2 4:4
0.985,17,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.096,20,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.208,23,0,1,vertical,0.000009,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.32,27,0,1,vertical,0.000009,6,4,2,1,0:2 2:1 3:2 4:4
1.433,30,0,1,vertical,0.000004,6,5,1,1,0:2 2:0 2:1 3:2 4:4
1.545,34,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.656,37,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.767,40,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.878,44,0,1,vertical,0.000009,6,5,1,0,0:2 2:0 2:1 3:2 4:4
1.99,47,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.102,50,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.214,54,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.326,57,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.439,60,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.551,64,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.663,67,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.776,70,0,1,vertical,0.000258,6,5,1,0,0:2 2:0 2:1 3:2 4:4
2.888,74,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.0,77,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.111,81,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.223,84,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.346,87,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.462,91,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.58,94,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.691,98,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.805,101,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
3.917,105,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.029,108,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.141,111,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.252,115,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.364,118,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.476,122,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.59,125,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.702,128,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.817,132,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
4.931,135,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.045,139,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.161,142,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.277,145,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.394,149,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.512,152,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.627,156,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.744,159,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.86,163,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
5.976,166,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.089,170,0,1,vertical,0.000004,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.201,173,0,1,vertical,0.000009,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.313,177,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.427,180,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.545,183,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.658,187,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.77,190,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.881,194,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
6.993,197,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
7.109,200,0,1,vertical,0.000000,6,5,1,0,0:2 2:0 2:1 3:2 4:4
