t,seq,stale,calibrated,mode,diff_fraction,detections,on_lattice,off_lattice,cell_churn,cells
0.535,3,0,1,vertical,,0,0,0,,
0.646,7,0,1,vertical,0.014274,1,0,1,0,
0.757,10,0,1,vertical,0.013337,1,0,1,0,
0.87,13,0,1,vertical,0.015633,1,0,1,0,
0.981,17,0,1,vertical,0.016819,1,0,1,0,
1.093,20,0,1,vertical,0.029428,1,0,1,0,
1.206,23,0,1,vertical,0.048392,1,0,1,0,
1.317,27,0,1,vertical,0.060446,1,0,1,0,
1.428,30,0,1,vertical,0.042436,0,0,0,0,
1.541,33,0,1,vertical,0.036019,0,0,0,0,
1.652,37,0,1,vertical,0.049667,1,0,1,0,
1.764,40,0,1,vertical,0.043542,1,0,1,0,
1.875,44,0,1,vertical,0.040265,1,0,1,0,
1.986,47,0,1,vertical,0.038835,1,0,1,0,
2.098,50,0,1,vertical,0.042974,1,0,1,0,
2.209,54,0,1,vertical,0.056484,1,0,1,0,
2.321,57,0,1,vertical,0.044462,0,0,0,0,
2.432,60,0,1,vertical,0.038937,0,0,0,0,
2.543,64,0,1,vertical,0.061077,1,0,1,0,
2.655,67,0,1,vertical,0.061530,1,0,1,0,
2.767,70,0,1,vertical,0.057337,1,0,1,0,
2.878,74,0,1,vertical,0.050542,1,0,1,0,
2.989,77,0,1,vertical,0.030414,1,0,1,0,
3.102,80,0,1,vertical,0.024245,1,0,1,0,
3.214,84,0,1,vertical,0.019346,1,0,1,0,
3.325,87,0,1,vertical,0.012076,1,0,1,0,
3.438,90,0,1,vertical,0.015740,1,0,1,0,
3.55,94,0,1,vertical,0.024716,1,0,1,0,
3.661,97,0,1,vertical,0.034327,0,0,0,0,
3.775,100,0,1,vertical,0.059553,1,0,1,0,
3.886,104,0,1,vertical,0.089039,1,0,1,0,
3.998,107,0,1,vertical,0.056351,0,0,0,0,
4.109,111,0,1,vertical,0.018316,0,0,0,0,
4.221,114,0,1,vertical,0.000027,0,0,0,0,
4.332,117,0,1,vertical,0.000049,0,0,0,0,
4.443,121,0,1,vertical,0.000071,0,0,0,0,
4.555,124,0,1,vertical,0.000027,0,0,0,0,
4.667,127,0,1,vertical,0.000018,0,0,0,0,
4.778,131,0,1,vertical,0.000022,0,0,0,0,
4.892,134,0,1,vertical,0.000004,0,0,0,0,
5.006,137,0,1,vertical,0.000013,2,0,2,0,
5.119,141,0,1,vertical,0.000009,0,0,0,0,
5.233,144,0,1,vertical,0.000004,0,0,0,0,
5.346,148,0,1,vertical,0.000000,0,0,0,0,
5.459,151,0,1,vertical,0.000000,0,0,0,0,
5.577,154,0,1,vertical,0.000000,0,0,0,0,
5.691,158,0,1,vertical,0.000000,0,0,0,0,
5.805,161,0,1,vertical,0.000000,0,0,0,0,
5.919,165,0,1,vertical,0.000000,0,0,0,0,
6.032,168,0,1,vertical,0.000009,0,0,0,0,
6.146,172,0,1,vertical,0.000058,1,0,1,0,
6.26,175,0,1,vertical,0.000022,1,0,1,0,
6.375,178,0,1,vertical,0.000000,0,0,0,0,
6.489,182,0,1,vertical,0.000004,0,0,0,0,
6.606,185,0,1,vertical,0.000000,0,0,0,0,
6.719,189,0,1,vertical,0.000004,1,0,1,0,
6.834,192,0,1,vertical,0.001626,1,0,1,0,
6.948,196,0,1,vertical,0.000600,1,0,1,0,
7.061,199,0,1,vertical,0.000004,1,0,1,0,
7.176,202,0,1,vertical,0.000000,2,0,2,0,
7.29,206,0,1,vertical,0.000000,1,0,1,0,
7.408,209,0,1,vertical,0.000000,1,0,1,0,
7.521,213,0,1,vertical,0.000004,1,0,1,0,
7.635,216,0,1,vertical,0.000000,0,0,0,0,
7.749,220,0,1,vertical,0.000000,1,0,1,0,
7.863,223,0,1,vertical,0.021478,1,0,1,0,
7.976,227,0,1,vertical,0.021687,1,0,1,0,
8.089,230,0,1,vertical,0.018787,1,0,1,0,
8.204,233,0,1,vertical,0.023512,1,0,1,0,
8.319,237,0,1,vertical,0.026106,1,0,1,0,
8.434,240,0,1,vertical,0.024702,1,0,1,0,
8.548,244,0,1,vertical,0.026141,1,0,1,0,
8.662,247,0,1,vertical,0.024312,1,0,1,0,
8.776,250,0,1,vertical,0.023392,1,0,1,0,
8.889,254,0,1,vertical,0.023552,1,0,1,0,
9.005,257,0,1,vertical,0.020288,1,0,1,0,
9.119,261,0,1,vertical,0.019950,1,0,1,0,
9.234,264,0,1,vertical,0.018214,0,0,0,0,
9.348,268,0,1,vertical,0.019906,1,0,1,0,
9.463,271,0,1,vertical,0.018143,1,0,1,0,
9.577,275,0,1,vertical,0.017650,1,0,1,0,
9.69,278,0,1,vertical,0.014816,1,0,1,0,
9.808,281,0,1,vertical,0.014874,1,0,1,0,
9.922,285,0,1,vertical,0.015354,1,0,1,0,
10.038,288,0,1,vertical,0.013661,1,0,1,0,
10.152,292,0,1,vertical,0.014159,1,0,1,0,
10.267,295,0,1,vertical,0.009722,1,0,1,0,
10.38,299,0,1,vertical,0.000959,1,0,1,0,
10.495,302,0,1,vertical,0.000067,1,0,1,0,
10.61,305,0,1,vertical,0.000124,1,0,1,0,
10.725,309,0,1,vertical,0.000022,1,0,1,0,
10.842,312,0,1,vertical,0.000004,1,0,1,0,
10.956,316,0,1,vertical,0.010277,1,0,1,0,
11.073,319,0,1,vertical,0.012076,1,0,1,0,
11.186,323,0,1,vertical,0.015393,1,0,1,0,
11.299,326,0,1,vertical,0.014798,0,0,0,0,
11.413,330,0,1,vertical,0.017965,0,0,0,0,
11.527,333,0,1,vertical,0.017556,1,0,1,0,
11.643,336,0,1,vertical,0.018662,0,0,0,0,
11.757,340,0,1,vertical,0.023001,2,0,2,0,
11.871,343,0,1,vertical,0.022349,3,0,3,0,
11.984,347,0,1,vertical,0.026501,0,0,0,0,
12.098,350,0,1,vertical,0.025995,0,0,0,0,
12.211,354,0,1,vertical,0.029881,0,0,0,0,
12.326,357,0,1,vertical,0.029170,0,0,0,0,
12.441,360,0,1,vertical,0.030645,0,0,0,0,
12.555,364,0,1,vertical,0.035015,0,0,0,0,
12.673,367,0,1,vertical,0.033843,0,0,0,0,
12.787,371,0,1,vertical,0.031542,0,0,0,0,
12.902,374,0,1,vertical,0.038328,0,0,0,0,
13.016,378,0,1,vertical,0.043689,0,0,0,0,
13.129,381,0,1,vertical,0.042774,0,0,0,0,
13.242,385,0,1,vertical,0.049569,0,0,0,0,
13.356,388,0,1,vertical,0.045155,0,0,0,0,
13.471,391,0,1,vertical,0.045155,0,0,0,0,
13.584,395,0,1,vertical,0.053735,0,0,0,0,
13.699,398,0,1,vertical,0.045075,0,0,0,0,
13.812,402,0,1,vertical,0.011134,0,0,0,0,
13.925,405,0,1,vertical,0.014678,0,0,0,0,
14.041,408,0,1,vertical,0.011316,0,0,0,0,
14.155,412,0,1,vertical,0.001168,0,0,0,0,
14.27,415,0,1,vertical,0.007444,0,0,0,0,
14.383,419,0,1,vertical,0.000986,0,0,0,0,
14.498,422,0,1,vertical,0.011952,0,0,0,0,
14.611,426,0,1,vertical,0.048752,0,0,0,0,
14.725,429,0,1,vertical,0.042938,0,0,0,0,
14.838,432,0,1,vertical,0.045288,0,0,0,0,
14.949,436,0,1,vertical,0.045208,0,0,0,0,
15.06,439,0,1,vertical,0.043525,0,0,0,0,
15.171,442,0,1,vertical,0.041100,0,0,0,0,
15.283,446,0,1,vertical,0.045683,0,0,0,0,
15.394,449,0,1,vertical,0.041530,0,0,0,0,
15.505,452,0,1,vertical,0.042441,0,0,0,0,
15.616,456,0,1,vertical,0.045021,0,0,0,0,
15.728,459,0,1,vertical,0.036507,0,0,0,0,
15.84,463,0,1,vertical,0.044333,0,0,0,0,
