t,seq,stale,calibrated,mode,diff_fraction,detections,on_lattice,off_lattice,in_gap,margin,outside,cell_churn,cells,elsewhere
0.535,3,0,1,vertical,,0,0,0,0,0,0,,,
0.646,7,0,1,vertical,0.000573,5,5,0,0,0,0,5,0:2 2:0 2:1 3:2 4:4,
0.758,10,0,1,vertical,0.002456,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
0.871,13,0,1,vertical,0.000004,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
0.983,17,0,1,vertical,0.000004,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.094,20,0,1,vertical,0.000004,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.209,23,0,1,vertical,0.000009,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.32,27,0,1,vertical,0.000004,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.441,30,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.553,34,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.667,37,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.78,41,0,1,vertical,0.000235,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
1.892,44,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.007,47,0,1,vertical,0.000004,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.119,51,0,1,vertical,0.000013,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.232,54,0,1,vertical,0.000009,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.344,58,0,1,vertical,0.000009,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.455,61,0,1,vertical,0.000004,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.567,64,0,1,vertical,0.000009,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.679,68,0,1,vertical,0.000040,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.79,71,0,1,vertical,0.000027,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
2.902,74,0,1,vertical,0.000018,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.014,78,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.125,81,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.237,84,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.349,88,0,1,vertical,0.000004,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.46,91,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.572,94,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.683,98,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.795,101,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
3.907,104,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
4.019,108,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
4.132,111,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
4.243,115,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
4.355,118,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
4.467,121,0,1,vertical,0.000000,5,5,0,0,0,0,0,0:2 2:0 2:1 3:2 4:4,
